epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.317207626722477,1.157731329401334,0.36226851851851855,0.5188172043010753,0.0001
2,1.24112807655776,1.1361439774433773,0.44907407407407407,0.489247311827957,9.891830623632339e-05
3,1.2297363938004882,1.1399836093187332,0.44907407407407407,0.48655913978494625,9.572050015330874e-05
4,1.1655273730004276,1.0454961583018303,0.5185185185185185,0.5564516129032258,9.05463412215599e-05
5,1.102777592561863,1.042022628088792,0.5457175925925926,0.6236559139784946,8.362196501476348e-05
6,1.0878559273702126,0.9369729335109392,0.5827546296296297,0.6854838709677419,7.525e-05
7,1.0349591335764639,0.9804296145836512,0.6244212962962963,0.6263440860215054,6.57963412215599e-05
8,0.9774342041324686,0.9975091020266215,0.6614583333333334,0.7043010752688172,5.567415893174885e-05
9,0.9448431757865129,0.9305569877227148,0.6927083333333334,0.6612903225806451,4.532584106825116e-05
10,0.841884231125867,0.7846887211004893,0.7453703703703703,0.7795698924731183,3.5203658778440106e-05
11,0.7857054157389535,0.7335172804693381,0.7910879629629629,0.8172043010752689,2.5750000000000013e-05
12,0.7444755997922685,0.7463025984664758,0.8015046296296297,0.7956989247311828,1.7378034985236535e-05
13,0.6896728638697553,0.7321660369634628,0.8449074074074074,0.8064516129032258,1.0453658778440107e-05
14,0.6676099672913551,0.6801482724646727,0.8466435185185185,0.8387096774193549,5.279499846691251e-06
15,0.6494155357833262,0.6809427551925182,0.8518518518518519,0.8360215053763441,2.0816937636766186e-06
